year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	MP	Concours Mines - T̩l̩com	Mines Saint Etienne-ISMIN										32	21,9%	12,5%	1671	1624	38
2020	MP	Concours Mines - T̩l̩com	T̩l̩com Physique Strasbourg Informatique et R̩seaux										20	35,0%	20,0%	2509	2351	20
2020	MP	Concours Mines - T̩l̩com	T̩l̩com Physique Strasbourg TI-Sant̩										7	71,4%	14,3%	2302	2050	8
2020	MP	Concours Mines - T̩l̩com	TELECOM SudParis										85	20,0%	29,4%	1226	1171	86
2020	MP	Concours Mines - T̩l̩com	TELECOM SudParis - cursus Sophia-Antipolis										9	22,2%	44,4%	1264	1207	4
2020	MP	Concours Mines - T̩l̩com	Concours Mines-T̩l̩com MP	5424	24,4%	21,1%				2986	22,2%	22,5%	444					467
2020	MP	Concours Mines - T̩l̩com	ENSTA Bretagne (fili̬re sous statut IETA - Direction G̩n̩rale de l'Armement)	5424	24,4%	21,1%				2500	21,7%	25,3%	14	14,3%	57,1%	1120	1048	14
2020	MP	Concours Mines - T̩l̩com	ENSG-G̩omatique Marne la Vall̩e Civil										6	16,7%	16,7%	3096	3142	10
2020	MP	Concours Mines - T̩l̩com	ENSG Nancy										7	57,1%	28,6%	2884	2886	5
2020	MP	Concours Mines - T̩l̩com	ENSSAT Lannion										23	21,7%	30,4%	2902	2740	25
2020	MP	Concours Mines - T̩l̩com	TELECOM Nancy										55	20,0%	21,8%	2605	2523	55
2020	MP	Concours Mines - T̩l̩com	TELECOM St Etienne - Statut ̩tudiant										27	22,2%	33,3%	2788	2661	30
2020	MP	Concours Mines - T̩l̩com	TELECOM St Etienne - Statut apprenti										2	0,0%	50,0%	2768	2768	2
2020	MP	Concours Mines - T̩l̩com	Concours Mines-T̩l̩com Sp̩cifique MP	5424	24,4%	21,1%				4067	23,7%	21,5%	120					127
2020	MP	CONCOURS COMMUN TPE	ENTPE Lyon Civil										19	52,6%	26,3%	1253	1177	21
2020	MP	CONCOURS COMMUN TPE	ENTPE Lyon Fonctionnaire										28	39,3%	42,9%	1083	1002	29
2020	MP	CONCOURS COMMUN TPE	Concours TPE - Candidats fran̤ais et de l'Union europ̩enne - fili̬re MP	2430	28,0%	22,7%				1481	26,6%	24,0%	47					50
2020	MP	CONCOURS COMMUN TPE	ENTPE Lyon Etranger	2430	28,0%	22,7%				82	41,5%	24,4%	1	0,0%	0,0%	44	44	1
2020	MP	CONCOURS COMMUN TPE	EIVP Paris Civil	2430	28,0%	22,7%				1673	27,7%	23,7%	22	45,5%	18,2%	1323	1293	23
