year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	PSI	Concours Mines - T̩l̩com	T̩l̩com Physique Strasbourg TI-Sant̩										9	66,7%	11,1%	1934	1668	8
2020	PSI	Concours Mines - T̩l̩com	TELECOM SudParis										36	16,7%	27,8%	958	882	32
2020	PSI	Concours Mines - T̩l̩com	TELECOM SudParis - cursus Sophia-Antipolis										3	66,7%	0,0%	932	855	3
2020	PSI	Concours Mines - T̩l̩com	Concours Mines-T̩l̩com PSI	4211	23,6%	17,6%				2442	22,5%	17,5%	317					315
2020	PSI	Concours Mines - T̩l̩com	ENSTA Bretagne (fili̬re sous statut IETA - Direction G̩n̩rale de l'Armement)	4211	23,6%	17,6%				2178	21,8%	19,1%	12	33,3%	41,7%	591	613	12
2020	PSI	Concours Mines - T̩l̩com	ENSG-G̩omatique Marne la Vall̩e Civil										7	28,6%	28,6%	2569	2476	5
2020	PSI	Concours Mines - T̩l̩com	ENSG Nancy										9	55,6%	22,2%	2305	2183	5
2020	PSI	Concours Mines - T̩l̩com	ENSSAT Lannion										18	22,2%	27,8%	2423	2354	16
2020	PSI	Concours Mines - T̩l̩com	TELECOM Nancy										12	25,0%	8,3%	1897	1690	10
2020	PSI	Concours Mines - T̩l̩com	TELECOM St Etienne - Statut ̩tudiant										25	8,0%	8,0%	2397	2256	21
2020	PSI	Concours Mines - T̩l̩com	TELECOM St Etienne - Statut apprenti										2	50,0%	0,0%	2304	2304	2
2020	PSI	Concours Mines - T̩l̩com	Concours Mines-T̩l̩com Sp̩cifique PSI	4211	23,6%	17,6%				3160	23,4%	17,8%	73					59
2020	PSI	CONCOURS COMMUN TPE	ENTPE Lyon Civil										23	47,8%	17,4%	971	883	21
2020	PSI	CONCOURS COMMUN TPE	ENTPE Lyon Fonctionnaire										29	31,0%	24,1%	849	812	29
2020	PSI	CONCOURS COMMUN TPE	Concours TPE - Candidats fran̤ais et de l'Union europ̩enne - fili̬re PSI	2255	26,6%	18,8%				1279	25,5%	20,0%	52					50
2020	PSI	CONCOURS COMMUN TPE	ENTPE Lyon Etranger	2255	26,6%	18,8%				27	40,7%	22,2%	1	0,0%	0,0%	10	10	1
2020	PSI	CONCOURS COMMUN TPE	EIVP Paris Civil	2255	26,6%	18,8%				1411	26,2%	20,1%	19	36,8%	15,8%	1162	1102	19
2020	PSI	CONCOURS COMMUN TPE	EIVP Paris Fonctionnaire	2255	26,6%	18,8%				1382	26,0%	20,0%	4	50,0%	50,0%	840	904	4
2020	PSI	CONCOURS COMMUN TPE	IMT Lille Douai Fonct.	2255	26,6%	18,8%				1279	25,5%	20,0%	2	0,0%	0,0%	721	721	2
2020	PSI	CONCOURS COMMUN INP	Bordeaux INP - ENSC Cognitique										11	36,4%	18,2%	2372	2414	8
2020	PSI	CONCOURS COMMUN INP	Bordeaux INP - ENSEIRB-MATMECA Electronique										22	4,5%	18,2%	2280	2231	17
