year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSIACET-Génie Industriel										11	45.5	18.2	1828	1861	9
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	¥Concours CCINP PC-Physique	4730	36.7	21.2				3699	36.4	22.0	614					599
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Bordeaux INP-ENSCBP Chimie-Génie physique										38	55.3	15.8	2166	2079	42
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	CPE LYON Chimie – génie des procédés										39	61.5	25.6	2666	2524	40
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ECPM-ESBS Strasbourg-CHEMBIOTECH										6	66.7	16.7	826	842	5
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ECPM Strasbourg										40	65.0	22.5	1381	1324	45
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Lille										42	61.9	21.4	1848	1717	40
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Montpellier										58	55.2	8.6	797	795	60
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Mulhouse										32	59.4	12.5	2045	1947	30
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Rennes										32	50.0	28.1	2244	2148	40
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSI Poitiers-Génie de l'Eau et Génie Civil										24	41.7	20.8	3051	2885	21
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSICAEN Mat. et Chimie										29	69.0	24.1	2590	2573	30
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Lorraine INP-ENSIC										48	41.7	12.5	2302	2176	50
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	SIGMA Clermont-Ferrand-spécialité chimie										37	70.3	24.3	2457	2329	36
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Toulouse INP-ENSIACET-Chimie										29	51.7	20.7	1383	1375	29
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Toulouse INP-ENSIACET-Génie chimique										34	61.8	23.5	1823	1800	32
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Toulouse INP-ENSIACET-Matériaux										28	32.1	32.1	2100	2025	30
2020	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	¥Concours CCINP PC-Chimie	4531	38.0	21.0				3460	37.6	22.1	516					530
2020	pc	BANQUE EPREUVES CCINP  Inter-Filière	ENSIL-ENSCI Limoges Céramique Industrielle										12	50.0	25.0	1994	1905	45
