year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2004	MP	BANQUE CENTRALE-SUPELEC	SupOptique etranger	74	24	42	24	17	58	17	18	53	17	1	0	100	5
2004	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lille	3005	22	34	942	19	39	854	19	41	802	89	19	44	85
2004	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lille cycle international	195	23	16	8	12	0	1	0	0	1	0	0	0	3
2004	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Lille handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	1
2004	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes	3310	23	31	1248	21	33	1143	21	35	1063	135	24	33	130
2004	MP	BANQUE CENTRALE-SUPELEC	CENTRALE Nantes handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	0
2004	MP	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	1315	22	33	819	22	35	643	22	37	643	64	25	38	55
2004	MP	BANQUE CENTRALE-SUPELEC	ENSEA Cergy handicapés	¥	¥	¥	¥	¥	¥	0	0	0	0	0	0	0	1
2004	MP	BANQUE CENTRALE-SUPELEC	IIE-CNAM	1053	19	36	764	19	37	548	18	39	475	75	13	24	75
2004	MP	BANQUE CENTRALE-SUPELEC	EGIM	1840	25	31	800	26	36	776	26	37	629	50	30	38	56
2004	MP	BANQUE CENTRALE-SUPELEC	Rang du dernier appelé
2004	MP	BANQUE CENTRALE-SUPELEC	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
2004	MP	CONCOURS COMMUN TPE	Ecole Meteorologie	¥	¥	¥	¥	¥	¥	589	25	54	143	1	0	0	1
2004	MP	CONCOURS COMMUN TPE	ENTPE Civil	2597	24	39	1010	22	50	589	25	54	586	15	20	67	13
2004	MP	CONCOURS COMMUN TPE	ENTPE Fonctionnaire	¥	¥	¥	¥	¥	¥	589	25	54	467	54	28	57	54
2004	MP	CONCOURS COMMUN TPE	ENTPE Etr	¥	¥	¥	¥	¥	¥	27	22	74	12	0	0	0	1
2004	MP	CONCOURS COMMUN TPE	Rang du dernier appelé
2004	MP	CONCOURS COMMUN TPE	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi	Nb	Filles	5-demi
