year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	MP	Banque CENTRALE-SUPELEC	ENSEA Cergy	1842	22,5%	24,8%	1320	21,4%	23,9%	881	21,2%	24,9%	42	28,6%	42,9%	790	781		60
2022	MP	Banque CENTRALE-SUPELEC	EPF campus TROYES										1	100,0%	0,0%	379	379		2
2022	MP	Banque CENTRALE-SUPELEC	EPF campus MONTPELLIER										9	11,1%	22,2%	387	387		8
2022	MP	Banque CENTRALE-SUPELEC	EPF campus Paris - Cachan										6	33,3%	50,0%	332	318		8
2022	MP	Banque CENTRALE-SUPELEC	Concours EPF Paris - Cachan - Troyes - Montpellier MP	815	28,2%	20,1%	634	30,1%	18,8%	438	32,2%	20,5%	16						18
2022	MP	Banque CENTRALE-SUPELEC	ESTP Paris - Travaux Publics (TP) - campus de Cachan										32	15,6%	21,9%	479	456		64
2022	MP	Banque CENTRALE-SUPELEC	ESTP Paris - B̢timent (B) - campus de Cachan										63	50,8%	22,2%	436	422		62
2022	MP	Banque CENTRALE-SUPELEC	ESTP Paris - G̩nie M̩canique et Electrique(GME)										10	20,0%	10,0%	469	448		16
2022	MP	Banque CENTRALE-SUPELEC	ESTP Paris - Topographie (T)										0	0,0%	0,0%	0	0		8
2022	MP	Banque CENTRALE-SUPELEC	ESTP Paris - B̢timent (B) - campus de Troyes										2	50,0%	0,0%	380	380		12
2022	MP	Banque CENTRALE-SUPELEC	ESTP Paris - Travaux Publics (TP) - campus de Dijon										2	50,0%	0,0%	434	434		9
2022	MP	Banque CENTRALE-SUPELEC	Concours ESTP MP	1093	27,8%	22,8%	896	27,2%	20,9%	564	31,0%	20,0%	109						171
2022	MP	Banque CENTRALE-SUPELEC	ECOLE NAVALE Brest	763	19,0%	27,0%	219	12,3%	37,0%	108	10,2%	49,1%	31	12,9%	54,8%	48	48		31
2022	MP	CONCOURS COMMUN MINES-PONTS	Chimie ParisTech										0	0,0%	0,0%	0	0		2
2022	MP	CONCOURS COMMUN MINES-PONTS	ENSAE Paris										57	22,8%	26,3%	1038	1005		55
2022	MP	CONCOURS COMMUN MINES-PONTS	ENSTA Paris										67	14,9%	19,4%	892	845		63
2022	MP	CONCOURS COMMUN MINES-PONTS	ENSTA Paris - apprentissage										1	100,0%	100,0%	800	800		2
2022	MP	CONCOURS COMMUN MINES-PONTS	IMT Atlantique										94	17,0%	16,0%	1374	1309		90
2022	MP	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										66	12,1%	16,7%	789	705		75
2022	MP	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										52	17,3%	25,0%	1207	1175		53
2022	MP	CONCOURS COMMUN MINES-PONTS	MINES SAINT-ETIENNE										42	9,5%	33,3%	1583	1534		50
2022	MP	CONCOURS COMMUN MINES-PONTS	MINES Paris										54	11,1%	14,8%	189	172		55
2022	MP	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										84	16,7%	16,7%	541	536		84
2022	MP	CONCOURS COMMUN MINES-PONTS	TELECOM Paris										82	19,5%	13,4%	636	631		85
2022	MP	CONCOURS COMMUN MINES-PONTS	Concours CCMP MP	5808	21,3%	19,8%	1753	14,3%	18,7%	1685	14,4%	18,3%	599						614
2022	MP	Concours Mines - T̩l̩com	EURECOM (Oral S̩rie 1)	5644	22,4%	20,6%	3041	19,6%	22,1%	2876	19,9%	22,5%	17	47,1%	17,6%	2243	2236		21
