year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	PC	Concours Mines - T̩l̩com	Mines Saint Etienne-ISMIN (Oral S̩rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	10	10,0%	40,0%	1451	1408		12
2022	PC	Concours Mines - T̩l̩com	TELECOM Nancy (Oral S̩rie 2)	3832	35,3%	20,6%	2703	33,3%	21,2%	2357	33,3%	21,2%	10	10,0%	30,0%	1495	1477		5
2022	PC	Concours Mines - T̩l̩com	T̩l̩com Physique Strasbourg Informatique et R̩seaux (Oral S̩rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	5	20,0%	0,0%	1941	1834		8
2022	PC	Concours Mines - T̩l̩com	T̩l̩com Physique Strasbourg TI-Sant̩ (Oral S̩rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	7	57,1%	42,9%	1423	1489		8
2022	PC	Concours Mines - T̩l̩com	TELECOM St Etienne - Statut apprenti (Oral S̩rie 2)	3832	35,3%	20,6%	2703	33,3%	21,2%	2357	33,3%	21,2%	2	50,0%	0,0%	2328	2328		2
2022	PC	Concours Mines - T̩l̩com	TELECOM St Etienne - Statut ̩tudiant (Oral S̩rie 2)	3832	35,3%	20,6%	2703	33,3%	21,2%	2357	33,3%	21,2%	11	9,1%	9,1%	1822	1786		13
2022	PC	Concours Mines - T̩l̩com	TELECOM SudParis (Oral S̩rie 1)	3832	35,3%	20,6%	2135	32,5%	21,6%	2033	32,7%	21,6%	39	20,5%	33,3%	910	845		36
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSC Cognitique										7	14,3%	0,0%	2187	2311		6
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSEGID										4	25,0%	50,0%	2478	2349		4
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSEIRB-MATMECA Electronique										18	22,2%	16,7%	2135	2137		13
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSEIRB-MATMECA Informatique										13	30,8%	15,4%	1474	1429		5
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSEIRB-MATMECA Math̩matiques et M̩canique										14	28,6%	21,4%	1574	1519		5
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSEIRB-MATMECA T̩lecom.										15	26,7%	66,7%	2207	2195		8
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	CPE LYON Sciences du num̩rique										10	10,0%	0,0%	3034	2986		12
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	CY TECH Cergy-Pau - Informatique										9	11,1%	22,2%	2901	2589		12
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	CY TECH Cergy-Pau - Math̩matiques										13	38,5%	38,5%	3020	2766		15
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENAC Toulouse Civil										21	23,8%	33,3%	1356	1300		20
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENAC Toulouse Fonctionnaire										3	100,0%	33,3%	398	466		3
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Civil (apprenti)										2	0,0%	0,0%	2985	2985		2
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Civil (̩tudiant)										13	46,2%	15,4%	2361	2195		10
