year	filiere	banque	ehcole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENAC Toulouse Civil										17	29.4	47.1	773	812	19
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENAC Toulouse Fonctionnaire										4	0.0	25.0	234	246	4
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Civil (apprenti)										2	0.0	50.0	3050	3050	2
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Civil (étudiant)										12	41.7	25.0	2280	2208	10
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Fonctionnaire										3	66.7	33.3	1606	1574	3
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSGTI Pau-Génie des Procédés										14	50.0	14.3	2994	2929	12
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSI Poitiers Energie										24	45.8	33.3	2961	2809	17
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSIAME Valenciennes Méca Energ.										20	40.0	15.0	2888	2733	20
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSIAME Valenciennes Mécatronique										9	22.2	33.3	2889	2865	5
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSICAEN Electronique et Physique Appliquée										18	5.6	33.3	2676	2514	15
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSICAEN Informatique										8	12.5	12.5	2361	2387	8
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSMM Besançon										19	47.4	42.1	2530	2423	25
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-ENSE3										57	35.1	10.5	1300	1258	60
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-Pagora										24	54.2	33.3	2900	2814	18
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-Phelma (Physique Electronique Télécoms)										32	25.0	34.4	969	947	35
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-Phelma (Physique Matériaux Procédés)										70	31.4	28.6	864	832	66
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-ENSIMAG										10	50.0	40.0	457	465	10
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP-Esisar										4	0.0	75.0	2068	2031	6
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ISAE-ENSMA Poitiers										27	25.9	29.6	1120	1010	28
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ISIMA Clermont-Ferrand										5	0.0	20.0	2587	2447	8
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Lorraine INP-ENSEM-Energie										18	27.8	50.0	2685	2599	24
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Lorraine INP-ENSEM-Spécialité des systèmes numériques										4	25.0	75.0	2743	2698	5
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	SeaTech Toulon										17	35.3	23.5	2221	2165	18
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	SUPMECA Paris										26	26.9	42.3	1645	1560	20
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	TELECOM PHYSIQUE Strasbourg										35	34.3	31.4	1961	1821	31
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSEEIHT-Electronique-Energie-Automatique (EEA)										19	21.1	15.8	1276	1228	20
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSEEIHT-Mécanique desFluides-Energetique-Environnement (MFEE)										17	17.6	41.2	811	746	16
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSEEIHT-Sciences du Numérique										9	22.2	66.7	746	732	7
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSIACET-Génie des Procédés										20	35.0	20.0	2200	2096	17
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP-ENSIACET-Génie Industriel										12	25.0	16.7	1769	1785	10
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	¥Concours CCINP PC-Physique	4880	35.6	21.7	3743	35.8	23.7	3300	37.2	23.7	648					598
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Bordeaux INP-ENSCBP Chimie-Génie physique										37	59.5	13.5	1849	1797	42
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	CPE LYON Chimie – génie des procédés										44	63.6	31.8	2648	2532	45
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ECPM-ESBS Strasbourg-CHEMBIOTECH										5	100.0	20.0	929	836	5
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ECPM Strasbourg										38	65.8	18.4	1144	1069	42
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Lille										42	50.0	28.6	1758	1646	40
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Montpellier										60	63.3	21.7	725	713	60
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Mulhouse										28	67.9	25.0	2002	1990	35
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Rennes										39	66.7	17.9	2053	1906	40
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSI Poitiers-Génie de l'Eau et Génie Civil										25	32.0	32.0	2927	2848	21
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSICAEN Mat. et Chimie										38	42.1	44.7	2509	2502	30
2019	pc	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Lorraine INP-ENSIC										55	63.6	14.5	1900	1894	50
