year_of_source,year,prepa,inscrits,admissibles,classes,propositions,entres,places
2017,2003,PC,5083,4890,4504,4171,3253,3684
2017,2003,PSI,4095,3847,3558,3382,2824,3471
2017,2003,PT,2105,1968,1870,1772,1563,1849
2017,2003,TSI,703,577,464,393,316,380
2017,2003,BCPST,1703,1480,1372,1305,1150,1189
2017,2002,MP,7021,6164,5606,4984,3904,4555
2017,2002,PC,5106,4762,4446,4089,3140,3752
2017,2002,PSI,4080,3880,3662,3371,2761,3390
2017,2002,PT,2117,1999,1902,1698,1516,1840
2017,2002,TSI,722,578,473,391,319,369
2017,2002,BCPST,1589,1413,1319,1276,1164,1200
2017,2001,MP,6617,6006,5403,4595,3803,4534
2017,2001,PC,4966,4667,4364,3740,3064,3756
2017,2001,PSI,3986,3708,3456,3055,2640,3305
2017,2001,PT,2031,1924,1834,1651,1474,1795
2017,2001,TSI,667,568,472,367,299,335
2017,2000,MP,6742,5942,5457,4934,3985,4408
2017,2000,PC,5319,4941,4592,4201,3275,3601
2017,2000,PSI,4108,3710,3508,3248,2695,3089
2017,2000,PT,2120,1745,1676,1551,1368,1635
2017,2000,TSI,674,518,425,362,296,304
2017,1999,MP,7188,5777,5190,4325,3369,3882
2017,1999,PC,5633,4804,4343,3702,3021,3306
2017,1999,PSI,4153,3425,3158,2821,2355,2750
2017,1999,PT,2244,1715,1638,1566,1306,1474
2017,1999,TSI,672,415,327,283,218,262
2018,2018,MP,8916,7163,6290,5852,4402,4813
2018,2018,PC,5339,4968,4639,4422,3290,3551
2018,2018,PSI,5986,5242,4800,4634,3601,3854
2018,2018,PT,2608,2412,2173,2101,1767,2054
2018,2018,TSI,1346,1089,843,764,591,674
2018,2018,BCPST,3099,2538,2418,2308,1822,1905
2018,2018,Inter-Filière,,,,,1023,1151
2018,2017,MP,8503,6973,6145,5757,4309,4789
2018,2017,PC,5271,4927,4567,4344,3186,3587
2018,2017,PSI,6039,5197,4763,4560,3498,3831
2018,2017,PT,2635,2449,2233,2109,1727,2012
2018,2017,TSI,1347,1099,868,737,587,603
2018,2017,BCPST,3141,2561,2416,2281,1799,1899
2018,2017,Inter-Filière,,,,,977,1128
2018,2016,MP,8088,6889,6019,5686,4278,4771
2018,2016,PC,5234,4942,4621,4368,3268,3572
2018,2016,PSI,5773,5223,4770,4548,3508,3730
2018,2016,PT,2556,2365,2162,2035,1667,2010
2018,2016,TSI,1142,933,807,700,543,578
2018,2016,BCPST,3160,2541,2424,2301,1827,1945
2018,2016,Inter-Filière,,,,,979,1152
2018,2015,MP,8226,6968,5965,5594,4187,4613
2018,2015,PC,5020,4756,4449,4200,3141,3513
2018,2015,PSI,5398,4913,4510,4303,3371,3651
2018,2015,PT,2389,2199,2022,1890,1556,1949
2018,2015,TSI,965,812,664,590,474,546
2018,2015,BCPST,2837,2362,2228,2130,1712,1898
2018,2015,Inter-Filière,,,,,826,1211
2019,2019,MP,8859,7097,6340,5879,4397,4890
2019,2019,PC,5365,4951,4592,4418,3338,3598
2019,2019,PSI,5727,5072,4669,4524,3560,3927
2019,2019,PT,2584,2396,2192,2127,1759,2129
2019,2019,TSI,1325,1069,884,823,670,745
2019,2019,BCPST,3025,2541,2421,2330,1822,1911
2019,2019,TB,152,111,96,90,81,94
2019,2019,Inter-Filière,,,,,1366,1556
2019,2018,MP,8916,7163,6290,5852,4402,4813
2019,2018,PC,5339,4968,4639,4422,3290,3551
2019,2018,PSI,5986,5242,4800,4634,3601,3854
2019,2018,PT,2608,2412,2173,2101,1767,2054
2019,2018,TSI,1346,1089,843,764,591,674
2019,2018,BCPST,3099,2538,2418,2308,1822,1905
2019,2018,Inter-Filière,,,,,1023,1151
2019,2017,MP,8503,6973,6145,5757,4309,4789
2019,2017,PC,5271,4927,4567,4344,3186,3587
2019,2017,PSI,6039,5197,4763,4560,3498,3831
2019,2017,PT,2635,2449,2233,2109,1727,2012
2019,2017,TSI,1347,1099,868,737,587,603
2019,2017,BCPST,3141,2561,2416,2281,1799,1899
2019,2017,Inter-Filière,,,,,977,1128
2019,2016,MP,8088,6889,6019,5686,4278,4771
2019,2016,PC,5234,4942,4621,4368,3268,3572
2019,2016,PSI,5773,5223,4770,4548,3508,3730
2019,2016,PT,2556,2365,2162,2035,1667,2010
2019,2016,TSI,1142,933,807,700,543,578
2019,2016,BCPST,3160,2541,2424,2301,1827,1945
2019,2016,Inter-Filière,,,,,979,1152
2019,2015,MP,8226,6968,5965,5594,4187,4613
2019,2015,PC,5020,4756,4449,4200,3141,3513
2019,2015,PSI,5398,4913,4510,4303,3371,3651
2019,2015,PT,2389,2199,2022,1890,1556,1949
2019,2015,TSI,965,812,664,590,474,546
2019,2015,BCPST,2837,2362,2228,2130,1712,1898
2019,2015,Inter-Filière,,,,,826,1211
2020,2020,MP,9048,,7441,6731,4544,5130
2020,2020,PC,5159,,4778,4519,3346,3603
2020,2020,PSI,5722,,5112,4868,3627,3945
2020,2020,PT,2530,,2371,2258,1733,2090
2020,2020,TSI,1427,,1116,972,676,743
2020,2020,BCPST,3090,,2605,2406,1830,1913
2020,2020,Inter-Filière,,,,,1377,1643
2020,2019,MP,8859,7097,6340,5879,4397,4890
2020,2019,PC,5365,4951,4592,4418,3338,3598
2020,2019,PSI,5727,5072,4669,4524,3560,3927
2020,2019,PT,2584,2396,2192,2127,1759,2129
2020,2019,TSI,1325,1069,884,823,670,745
2020,2019,BCPST,3025,2541,2421,2330,1822,1911
2020,2019,TB,152,111,96,90,81,94
2020,2019,Inter-Filière,,,,,1366,1556
2020,2018,MP,8916,7163,6290,5852,4402,4813
2020,2018,PC,5339,4968,4639,4422,3290,3551
2020,2018,PSI,5986,5242,4800,4634,3601,3854
2020,2018,PT,2608,2412,2173,2101,1767,2054
2020,2018,TSI,1346,1089,843,764,591,674
2020,2018,BCPST,3099,2538,2418,2308,1822,1905
2020,2018,Inter-Filière,,,,,1023,1151
2020,2017,MP,8503,6973,6145,5757,4309,4789
2020,2017,PC,5271,4927,4567,4344,3186,3587
2020,2017,PSI,6039,5197,4763,4560,3498,3831
2020,2017,PT,2635,2449,2233,2109,1727,2012
2020,2017,TSI,1347,1099,868,737,587,603
2020,2017,BCPST,3141,2561,2416,2281,1799,1899
2020,2017,Inter-Filière,,,,,977,1128
2020,2016,MP,8088,6889,6019,5686,4278,4771
2020,2016,PC,5234,4942,4621,4368,3268,3572
2020,2016,PSI,5773,5223,4770,4548,3508,3730
2020,2016,PT,2556,2365,2162,2035,1667,2010
2020,2016,TSI,1142,933,807,700,543,578
2020,2016,BCPST,3160,2541,2424,2301,1827,1945
2020,2016,Inter-Filière,,,,,979,1152
2020,2015,MP,8226,6968,5965,5594,4187,4613
2020,2015,PC,5020,4756,4449,4200,3141,3513
2020,2015,PSI,5398,4913,4510,4303,3371,3651
2020,2015,PT,2389,2199,2022,1890,1556,1949
2020,2015,TSI,965,812,664,590,474,546
2020,2015,BCPST,2837,2362,2228,2130,1712,1898
2020,2015,Inter-Filière,,,,,826,1211
2021,2021,MP,8992,7547,6932,6366,4638,5050
2021,2021,PC,5157,4815,4501,4342,3280,3558
2021,2021,PSI,5742,5185,4794,4586,3548,3870
2021,2021,PT,2565,2387,2236,2166,1762,2047
2021,2021,TSI,1381,1143,1018,915,747,721
2021,2021,BCPST,3182,2581,2449,2381,1901,1945
2021,2021,TB,154,111,94,92,82,96
2021,2021,TPC,77,59,43,41,30,42
2021,2021,Inter-Filière,,,,,1306,1750
2021,2020,MP,8847,,7441,6731,4544,5130
2021,2020,PC,5149,,4778,4519,3346,3603
2021,2020,PSI,5657,,5112,4868,3627,3945
2021,2020,PT,2524,,2371,2258,1733,2090
2021,2020,TSI,1397,,1116,972,676,743
2021,2020,BCPST,3088,,2605,2406,1830,1913
2021,2020,TB,166,,106,100,85,92
2021,2020,TPC,83,,61,55,39,42
2021,2020,Inter-Filière,,,,,1377,1643
2021,2019,MP,8859,7097,6340,5879,4397,4890
2021,2019,PC,5365,4951,4592,4418,3338,3598
2021,2019,PSI,5727,5072,4669,4524,3560,3927
2021,2019,PT,2584,2396,2192,2127,1759,2129
2021,2019,TSI,1325,1069,884,823,670,745
2021,2019,BCPST,3025,2541,2421,2330,1822,1911
2021,2019,TB,152,111,96,90,81,94
2021,2019,Inter-Filière,,,,,1366,1556
2021,2018,MP,8916,7163,6290,5852,4402,4813
2021,2018,PC,5339,4968,4639,4422,3290,3551
2021,2018,PSI,5986,5242,4800,4634,3601,3854
2021,2018,PT,2608,2412,2173,2101,1767,2054
2021,2018,TSI,1346,1089,843,764,591,674
2021,2018,BCPST,3099,2538,2418,2308,1822,1905
2021,2018,Inter-Filière,,,,,1023,1151
2021,2017,MP,8503,6973,6145,5757,4309,4789
2021,2017,PC,5271,4927,4567,4344,3186,3587
2021,2017,PSI,6039,5197,4763,4560,3498,3831
2021,2017,PT,2635,2449,2233,2109,1727,2012
2021,2017,TSI,1347,1099,868,737,587,603
2021,2017,BCPST,3141,2561,2416,2281,1799,1899
2021,2017,Inter-Filière,,,,,977,1128
2021,2016,MP,8088,6889,6019,5686,4278,4771
2021,2016,PC,5234,4942,4621,4368,3268,3572
2021,2016,PSI,5773,5223,4770,4548,3508,3730
2021,2016,PT,2556,2365,2162,2035,1667,2010
2021,2016,TSI,1142,933,807,700,543,578
2021,2016,BCPST,3160,2541,2424,2301,1827,1945
2021,2016,Inter-Filière,,,,,979,1152
2021,2015,MP,8226,6968,5965,5594,4187,4613
2021,2015,PC,5020,4756,4449,4200,3141,3513
2021,2015,PSI,5398,4913,4510,4303,3371,3651
2021,2015,PT,2389,2199,2022,1890,1556,1949
2021,2015,TSI,965,812,664,590,474,546
2021,2015,BCPST,2837,2362,2228,2130,1712,1898
2021,2015,Inter-Filière,,,,,826,1211
