year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	appeles	integres_nb	integres_filles	integres_cinq_demi	places
2002	PT	GROUPE ARCHIMEDE	ISIM Sc+Tech Mat										312	0	0	0	2
2002	PT	GROUPE ARCHIMEDE	ISTG-Geotec										312	3	0	0	3
2002	PT	GROUPE ARCHIMEDE	ISTG 3I										312	2	0	0	5
2002	PT	GROUPE ARCHIMEDE	ISTG-PRIHSE										157	3	33	0	3
2002	PT	GROUPE ARCHIMEDE	ISTG Grenoble SciGMa										284	4	0	75	4
2002	PT	GROUPE ARCHIMEDE	RÚseau Eiffel PT	788	11 %	35 %	551	11 %	35 %	312	12 %	29 %					73
2002	PT	AUTRES ECOLES	3IL	149	10 %	24 %	141	10 %	23 %	111	11 %	23 %	111	10	10	20	12
2002	PT	AUTRES ECOLES	ENSTIM Albi										172	3	0	67	3
2002	PT	AUTRES ECOLES	ENSTIM Ales										174	12	0	58	9
2002	PT	AUTRES ECOLES	ENSTIM Douai										76	5	0	80	5
2002	PT	AUTRES ECOLES	ENSTIM Nantes										119	5	0	80	5
2002	PT	AUTRES ECOLES	Concours des ENSTIM PT	490	10 %	42 %	310	9 %	53 %	205	11 %	58 %					22
2002	PT	AUTRES ECOLES	ECE PARIS	185	8 %	25 %	175	8 %	25 %	97	10 %	23 %	79	10	10	20	10
2002	PT	AUTRES ECOLES	EIPC	117	9 %	33 %	114	9 %	34 %	76	11 %	37 %	76	10	10	60	15
2002	PT	AUTRES ECOLES	EIPI-ISPA							3	33 %	33 %	3	1	0	0	8
2002	PT	AUTRES ECOLES	ENSAIT Roubaix	301	20 %	40 %	268	20 %	43 %	199	21 %	48 %	199	23	48	39	35
2002	PT	AUTRES ECOLES	ESIGELEC	271	11 %	34 %	262	11 %	35 %	169	16 %	34 %	169	22	23	23	30
2002	PT	AUTRES ECOLES	ESIGETEL Fontainebl.	219	10 %	27 %	168	8 %	33 %	89	11 %	31 %	84	5	0	0	10
2002	PT	AUTRES ECOLES	ESITE	45	22 %	33 %	43	23 %	35 %	10	30 %	30 %	10	0	0	0	14
2002	PT	AUTRES ECOLES	ESTIA Bayonne	289	11 %	41 %	232	11 %	46 %	158	15 %	46 %	150	20	10	35	20
2002	PT	AUTRES ECOLES	ESTP-TP										220	10	10	30	10
