ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Paris 16e,Lyce Janson de Sailly (0750699C),135,38,121,35,99,31,22,5
Pau,Lyce Louis Barthou (0640055M),39,8,25,6,17,5,11,4
Perpignan,Lyce Franois Arago (0660010C),32,7,18,3,14,2,7,1
Pointe--Pitre,L.G.T.Baimbridge (9710003B),31,13,16,7,14,7,1,0
Poitiers,Lyce Camille Gurin (0860035W),59,13,51,13,40,10,15,4
Pontoise,Lyce Camille Pissarro (0950649P),33,5,23,2,21,1,11,1
Rabat,Etablissement Al Atlas (99693011),12,4,3,1,2,1,0,0
Rabat,Lyce Ibn Al Ghazhi (99951011),66,25,30,11,15,9,4,3
Rabat,Lyce Moulay Youssef (99926611),129,34,104,28,75,16,31,5
Rabat,Lyce priv Al Khawarizmi CPGE (99928311),42,10,12,1,8,1,2,0
Rabat,THALES-PREPAS (99948222),19,8,1,0,0,0,0,0
Reims,Lyce Clmenceau (0510031G),94,25,77,21,66,18,33,10
Rennes,Lyce Chateaubriand (0350710G),93,26,89,24,79,23,20,4
Roubaix,Lyce priv Saint Rmi (0592921E),28,5,11,3,7,1,3,1
Rouen,Lyce Pierre Corneille (0760090K),57,15,53,11,39,7,5,0
Saint-Brieuc,Lyce Francois Rabelais (0220056S),15,8,10,6,9,6,4,4
Saint-Cyr-L'Ecole,Lyce Militaire (0780015T),18,0,10,0,8,0,7,0
Saint-Denis,Lyce Paul Eluard (0930125F),16,5,7,0,4,0,2,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),27,9,24,9,20,7,7,3
Saint-Etienne,Lyce Claude Fauriel (0420041S),63,17,51,12,42,9,19,5
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),18,4,17,4,13,2,7,1
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),16,2,14,2,12,2,11,1
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),44,9,40,8,40,8,12,1
Savigny-Sur-Orge,Lyce Jean Baptiste Corot (0910627M),40,13,29,9,23,7,5,2
Sceaux,Lyce Lakanal (0920145H),30,2,29,2,29,2,11,1
Sfax,IPEIS (99951111),3,0,1,0,1,0,0,0
Strasbourg,Lyce Kleber (0670080Y),128,39,118,34,96,30,37,11
Tanger,Centre Pdagogique Rgional (99926911),39,12,14,4,1,0,0,0
Tanger,Lyce Al Bayrouni (99901131),12,3,7,2,3,1,1,1
Toulon,Lyce Dumont D'Urville (0830053G),28,7,19,3,16,3,8,1
Toulouse,Lyce Bellevue (0310038Y),34,13,30,12,25,9,14,5
Toulouse,Lyce Pierre de Fermat (0310036W),101,19,97,19,88,17,14,2
Tours,Lyce Descartes (0370035M),73,20,63,18,49,16,24,9
Troyes,Lyce Chrestien De Troyes (0100022V),14,2,8,2,6,2,5,1
Tunis,IPEI El Manar (99951211),11,5,2,0,2,0,2,0
Tunis,I.P.E.I.T (99922211),51,8,15,1,14,1,11,0
Tunis,IPEST (99926211),96,42,81,32,81,32,59,24
Tunis,Universit de Tunis (35900002),1,1,0,0,0,0,0,0
Valbonne,C.I.V. Valbonne (0061642C),26,9,19,7,17,6,6,0
Valence,Lyce Camille Vernet (0260035X),22,1,17,1,11,0,8,0
Valenciennes,Lyce Henri Wallon (0590221V),88,21,70,16,58,14,25,7
Vannes,Lyce Alain Ren Lesage (0560051B),33,7,20,3,14,1,8,1
Vanves,Lyce Michelet (0920149M),22,5,20,4,18,4,3,1
Versailles,Lyce Hoche (0782562L),45,14,41,12,33,12,5,2
Versailles,Lyce Sainte Genevive (0783053V),75,23,52,18,45,16,3,2
Yamoussoukro,INP HOUPHOUET-BOIGNY (99929911),1,0,0,0,0,0,0,0
