ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),43,11,42,11,37,7,21,3
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),34,5,14,1,11,1,5,1
Nouakchott,Institut Préparatoire aux Grandes Ecoles d'Ingénieurs de Nouakchott (IPGEI) (L0084),23,6,15,2,8,1,7,1
Orléans,Lycée Saint Charles (0450110A),10,2,3,1,2,1,1,0
Orléans Cedex 1,Lycée Pothier (0450049J),95,22,76,17,65,16,22,8
Orsay,Lycée Blaise Pascal (0910626L),36,9,34,8,30,8,0,0
Oujda,Lycée Omar Ibn Abdelaziz (99927611),45,10,27,5,20,3,10,1
Oujda,Pythagore Prépas (99700011),30,12,3,0,3,0,1,0
Paris,Lycée Saint-Louis (0750658H),106,34,89,32,77,29,9,4
Paris,Lycée Janson de Sailly (0750699C),134,40,123,39,99,33,23,6
Paris 4e,Lycée Charlemagne (0750652B),74,28,65,25,53,22,7,3
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),61,10,57,9,46,7,14,1
Paris Cedex 05,Lycée Henri IV (0750654D),33,10,29,10,23,9,2,1
Paris Cedex 05,Lycée Louis Le Grand (0750655E),48,11,31,8,27,6,2,0
Paris Cedex 06,Lycée Stanislas (0753840S),46,7,39,7,26,4,0,0
Paris Cedex 09,Lycée Jacques Decour (0750668U),30,7,17,4,14,4,5,1
Paris Cedex 12,Lycée Paul Valery (0750679F),38,7,21,3,12,1,4,1
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),25,9,20,7,14,6,5,4
Paris 15e,Lycée Buffon (0750693W),27,11,21,8,19,7,5,2
Paris 16e,Lycée Claude Bernard (0750698B),26,8,13,3,8,1,3,1
Paris 6e,Lycée Fénelon (0750660K),70,17,59,15,45,13,8,3
Paris 8e,Lycée Chaptal (0750663N),77,21,65,17,58,15,14,5
Paris 9e,Lycée Condorcet (0750667T),55,15,48,12,39,11,7,2
Pau Cedex,Lycée Louis Barthou (0640055M),29,10,23,7,19,6,9,2
Perpignan,Lycée François Arago (0660010C),33,6,20,5,15,3,4,1
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),23,9,15,5,15,5,2,1
Poitiers Cedex,Lycée Camille Guérin (0860035W),66,13,59,11,47,9,12,1
Pontoise,Lycée Camille Pissarro (0950649P),17,5,6,2,4,2,2,0
Rabat,Lycée Ibn Al Ghazi (99951011),110,32,51,12,34,8,9,1
Rabat,Lycée Moulay Youssef (99926611),138,41,80,20,67,15,14,2
Rabat,Lycée privé Al Khawarizmi CPGE (99928311),34,6,4,0,2,0,1,0
Reims Cedex 2,Lycée Clémenceau (0510031G),97,19,81,16,61,9,23,3
Rennes Cedex 7,Lycée Chateaubriand (0350710G),81,21,76,20,69,18,14,4
Rodez,Lycée Ferdinand Foch (0120022J),22,6,19,5,18,4,12,4
Roubaix,Lycée privé Saint Rémi (0592921E),30,6,11,3,8,2,3,0
Rouen Cedex,Lycée Pierre Corneille (0760090K),67,18,60,16,50,15,12,6
Safi,Lycée Moulay Abdellah (99929411),23,9,16,4,9,1,1,0
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),34,4,26,3,22,3,10,2
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),21,3,19,2,13,2,8,1
Saint-Denis,Lycée Paul Eluard (0930125F),9,3,4,2,3,1,1,1
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),23,5,16,3,12,1,5,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),72,21,53,13,42,11,14,4
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),22,4,17,3,15,3,4,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),16,4,13,3,11,1,3,1
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),50,13,41,12,31,10,4,2
Saint-Pierre,Lycée Catholique Saint Charles (9741255W),29,6,18,2,14,1,3,0
Sale,Collège Selmane Al-Farissi (L0002),57,22,19,4,15,3,3,0
Sale,Université Internationale de Rabat (U0010),21,8,7,2,5,1,1,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),40,10,35,8,33,7,15,3
Sceaux Cedex,Lycée Lakanal (0920145H),37,12,34,11,33,11,6,4
Sfax,L?Ecole Supérieure Internationale Privée de Technologie (L0085),1,0,0,0,0,0,0,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),62,15,50,13,40,10,13,1
Strasbourg Cedex,Lycée Kleber (0670080Y),136,37,122,33,102,28,22,6
Tanger,GROUPE ASSAFA (SOPHOS) (L0005),7,0,1,0,0,0,0,0
Tanger,Lycée Al Bayrouni (99901131),13,4,0,0,0,0,0,0
Tanger,Lycée Moulay Hassan (99926911),70,22,42,12,36,8,9,2
Taza,Lycée Charif Al Idrissi (3500052E),29,8,11,3,8,2,3,1
Tetouan,Faculté des sciences (U208),1,0,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),34,6,25,5,20,4,11,3
Toulouse,Lycée Bellevue (0310038Y),43,14,40,14,35,12,21,8
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),94,30,89,28,83,24,25,7
Tours Cedex 1,Lycée Descartes (0370035M),81,20,75,19,64,15,17,4
Troyes,Lycée Chrestien De Troyes (0100022V),29,7,24,5,11,2,3,1
Tunis,Esprit-prépa (L0042),80,19,36,2,25,1,10,0
Tunis,IPEI El Manar (99951211),4,2,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),1,0,0,0,0,0,0,0
Tunis,IPEST (99926211),40,21,34,17,31,16,12,5
Tunis,Université Libre de Tunis (U0020),1,0,0,0,0,0,0,0
Valence Cedex,Lycée Camille Vernet (0260035X),26,9,20,6,16,5,7,2
Valenciennes Cedex,Lycée Henri Wallon (0590221V),74,16,64,14,46,10,11,2
Vannes,Lycée Alain René Lesage (0560051B),31,4,27,4,21,1,9,0
Vanves Cedex,Lycée Michelet (0920149M),30,8,30,8,30,8,4,0
Versailles Cedex,Lycée Hoche (0782562L),54,18,47,15,43,13,2,0
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),38,9,37,9,35,7,6,0
Yamoussoukro,INP HOUPHOUET-BOIGNY (99929911),32,12,6,1,1,0,1,0
