ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),76,16,70,16,60,14,12,2
Nice Cedex 1,Lycée Massena (0060030A),89,21,83,18,71,17,21,6
Nimes Cedex,Lycée Alphonse Daudet (0300021K),37,4,22,3,16,1,5,0
Nimes Cedex,Lycée Emmanuel d'Alzon (0300080Z),4,2,1,1,1,1,0,0
Orléans,Lycée Saint Charles (0450110A),2,0,0,0,0,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),77,11,50,6,35,4,11,0
Orsay,Lycée Blaise Pascal (0910626L),34,5,32,4,31,4,9,1
Oujda,Lycée Omar Ben Abdelaziz (99927611),17,6,5,1,3,1,0,0
Oujda,Médiane Sup (99926815),1,0,0,0,0,0,0,0
Oujda,Pythagore Prépas (99700011),3,0,0,0,0,0,0,0
Paris 4e,Lycée Charlemagne (0750652B),77,14,66,14,51,10,9,1
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),50,6,39,5,28,3,7,2
Paris Cedex 05,Lycée Henri IV (0750654D),80,17,76,16,69,15,29,7
Paris Cedex 05,Lycée Louis Le Grand (0750655E),200,53,194,50,168,47,36,11
Paris Cedex 06,Lycée Saint-Louis (0750658H),165,41,145,39,129,35,40,14
Paris Cedex 06,Lycée Stanislas (0753840S),78,9,75,8,70,8,18,2
Paris Cedex 09,Lycée Jacques Decour (0750668U),32,6,18,4,10,3,4,1
Paris Cedex 12,Lycée Paul Valery (0750679F),16,3,8,0,3,0,1,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),25,4,12,2,7,1,3,0
Paris 15e,Lycée Buffon (0750693W),25,3,21,2,18,2,7,1
Paris 16e,Lycée Claude Bernard (0750698B),18,7,9,3,6,2,2,1
Paris 16e,Lycée Janson de Sailly (0750699C),153,42,125,36,97,25,22,5
Paris 6e,Lycée Fénelon (0750660K),78,16,64,10,48,9,13,3
Paris 8e,Lycée Chaptal (0750663N),82,16,71,13,57,9,13,2
Paris 9e,Lycée Condorcet (0750667T),82,19,65,16,53,12,24,6
Pau Cedex,Lycée Louis Barthou (0640055M),16,3,10,2,5,1,2,0
Perpignan,Lycée François Arago (0660010C),17,1,2,1,1,1,1,1
Pointe-à-Pitre Cedex (guadeloupe),L G T de Baimbridge (9710003B),23,6,14,4,14,4,5,3
Poitiers Cedex,Lycée Camille Guérin (0860035W),61,11,45,8,32,5,13,3
Pontoise,Lycée Camille Pissarro (0950649P),13,2,4,0,1,0,0,0
Rabat,Groupe scolaire Atlas (99693011),3,1,0,0,0,0,0,0
Rabat,Hight Tech (Azhraa) (99927812),3,2,2,1,2,1,1,0
Rabat,Lycée Ibn Al Ghazi (99951011),96,35,45,11,29,9,11,3
Rabat,Lycée Moulay Youssef (99926611),146,50,104,37,70,26,34,12
Rabat,Lycée privé Al Khawarizmi CPGE (99928311),27,8,9,5,8,5,3,1
Reims Cedex 2,Lycée Clémenceau (0510031G),59,13,36,4,26,2,10,1
Rennes Cedex 7,Lycée Chateaubriand (0350710G),101,24,82,19,71,17,15,5
Roubaix,Lycée privé Saint Rémi (0592921E),15,0,6,0,1,0,0,0
Rouen Cedex,Lycée Pierre Corneille (0760090K),68,16,55,16,44,12,15,5
Safi,Lycée Moulay Abdellah (99929411),11,1,4,1,1,0,0,0
Saint-Brieuc,Lycée Francois Rabelais (0220056S),13,2,8,0,6,0,2,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),11,2,2,0,2,0,0,0
Saint-Denis,Lycée Paul Eluard (0930125F),2,0,0,0,0,0,0,0
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),18,3,8,1,5,0,0,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),44,8,31,5,25,5,9,2
Saint-Germain-En-Laye,Lycée Jeanne D'Albret (0782132U),26,6,15,2,12,1,5,1
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),3,0,3,0,3,0,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),55,11,47,9,36,8,7,1
Sale,Centre Selmane el Farissi (L0002),30,14,16,6,7,5,3,2
Sale - Rabat,Université Internationale de Rabat (U0010),27,13,17,7,9,4,3,2
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),29,3,18,2,13,2,3,0
Sceaux Cedex,Lycée Lakanal (0920145H),33,9,24,6,23,6,6,3
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),42,7,31,6,22,5,5,3
Strasbourg,Lycée Kleber (0670080Y),116,25,90,22,72,17,22,7
Strasbourg,Lycée Ort (0671636P),1,0,1,0,1,0,0,0
Tanger,GROUPE ASSAFA (SOPHOS) (L0005),7,4,2,2,2,2,0,0
Tanger,Lycée Al Bayrouni (99901131),3,0,0,0,0,0,0,0
Tanger,Lycée Moulay Hassan (99926911),37,11,19,8,4,1,1,0
Taza,Lycée Technique de Taza (3500052E),9,0,4,0,1,0,1,0
Torcy,Lycée Jean Moulin (0772120L),1,1,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),19,3,11,0,4,0,0,0
Toulouse,Lycée Bellevue (0310038Y),30,8,20,5,18,5,4,1
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),106,24,102,24,91,21,21,3
Tours Cedex 1,Lycée Descartes (0370035M),62,12,52,11,40,11,21,7
Troyes,Lycée Chrestien De Troyes (0100022V),4,0,1,0,1,0,0,0
Tunis,Esprit-prépa (L0042),46,9,27,8,22,7,10,4
Tunis,IPEI El Manar (99951211),2,1,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),8,1,3,0,2,0,0,0
Tunis,IPEST (99926211),46,20,34,13,29,11,18,7
Valence Cedex,Lycée Camille Vernet (0260035X),9,1,3,1,1,0,0,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),76,13,50,11,28,6,3,1
Vannes,Lycée Alain René Lesage (0560051B),14,2,6,0,2,0,0,0
Vanves Cedex,Lycée Michelet (0920149M),36,7,32,7,26,6,7,2
Versailles,Lycée Sainte Geneviève (0783053V),122,26,122,26,118,24,16,7
Versailles Cedex,Lycée Hoche (0782562L),84,28,80,27,68,26,20,8
Yamoussoukro,INP HOUPHOUET-BOIGNY (99929911),4,0,0,0,0,0,0,0
null,Sans etablissement - candidat libre (0000000Y),2,0,0,0,0,0,0,0
