ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Lyon,Lyce du Parc (0690026D),67,20,33,6,29,5,22,5
Lyon,Lyce Jean Perrin (0690082P),1,0,0,0,0,0,0,0
Lyon,Lyce La Martinire Monplaisir (0692866R),17,6,4,1,2,0,2,0
Marseille,Lyce Thiers (0130040Y),23,3,11,1,7,0,3,0
Mekns,Lyce Omar Ibn El Khattab CPGE (99928611),0,0,1,0,0,0,0,0
Metz,Lyce Fabert (0570054Z),15,2,2,0,2,0,2,0
Montpellier,Lyce Joffre (0340038G),15,5,3,2,3,2,2,1
Nancy,Lyce Henri Poincar (0540038Y),28,3,11,2,9,1,7,1
Nantes,Lyce Clmenceau (0440021J),32,10,7,3,4,2,1,1
Nantes,Lyce Saint Stanislas (0440163N),2,0,0,0,0,0,0,0
Neuilly-Sur-Seine,Lyce Louis Pasteur (0920142E),36,7,9,3,7,2,2,1
Nice,Lyce Massena (0060030A),22,3,5,1,4,1,1,0
Orlans,Lyce Pothier (0450049J),16,4,2,1,2,1,1,0
Orsay,Lyce Blaise Pascal (0910626L),13,9,3,0,3,0,2,0
Paris,Lyce Jacques Decour (0750668U),10,1,2,0,2,0,1,0
Paris,Lyce Stanislas (0753840S),39,8,16,1,12,1,4,1
Paris 3e,Lyce Turgot (0750647W),1,1,0,0,0,0,0,0
Paris 4e,IPESUP (0753144K),13,1,2,0,0,0,0,0
Paris 4e,Lyce Charlemagne (0750652B),24,8,2,1,2,1,1,0
Paris 5e,Lyce Henri IV (0750654D),34,8,28,7,25,6,16,3
Paris 5e,Lyce Lavoisier (0750656F),3,0,0,0,0,0,0,0
Paris 5e,Lyce Louis Le Grand (0750655E),124,47,84,21,67,21,38,10
Paris 6e,Lyce Fnelon (0750660K),25,9,2,0,2,0,1,0
Paris 6e,Lyce Saint-Louis (0750658H),86,35,35,11,28,10,16,5
Paris 8e,Lyce Chaptal (0750663N),14,4,4,0,4,0,2,0
Paris 8e,Lyce Fnelon Sainte-Marie (0753873C),9,2,1,0,0,0,0,0
Paris 9e,Lyce Condorcet (0750667T),5,2,0,0,0,0,0,0
Paris 15e,Lyce Buffon (0750693W),11,2,0,0,0,0,0,0
Paris 16e,Lyce Janson de Sailly (0750699C),58,11,13,3,8,3,6,2
Paris 16e,Lyce Jean-Baptiste Say (0750700D),0,0,1,0,1,0,1,0
Paris 17e,Lyce Carnot (0750704H),2,0,0,0,0,0,0,0
Pau,Lyce Louis Barthou (0640055M),3,0,0,0,0,0,0,0
Pointe--Pitre,L.G.T.Baimbridge (9710003B),1,0,0,0,0,0,0,0
Poitiers,Lyce Camille Gurin (0860035W),8,3,1,0,0,0,0,0
Quimper,Lyce Auguste Brizeux (0290069T),3,1,1,1,1,1,1,1
Rabat,Lyce Moulay Youssef (99926611),0,0,6,1,4,1,4,1
Rabat,Lyce priv Al Khawarizmi CPGE (99928311),0,0,1,0,1,0,1,0
Reims,Lyce F. Roosevelt (0510034K),2,0,1,0,1,0,1,0
Rennes,Lyce Chateaubriand (0350710G),18,3,8,0,4,0,2,0
Rouen,Lyce Pierre Corneille (0760090K),38,11,11,2,9,1,5,0
Saint-Brieuc,Lyce Francois Rabelais (0220056S),1,1,0,0,0,0,0,0
Saint-Etienne,Lyce Claude Fauriel (0420041S),6,0,3,0,2,0,0,0
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),3,1,1,0,1,0,0,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),16,7,5,2,4,2,2,2
Saint-Nazaire,Lyce Aristide Briand (0440069L),1,0,0,0,0,0,0,0
Salon-De-Provence,Lyce de l'Emperi (0130160D),1,1,0,0,0,0,0,0
Savigny-Sur-Orge,Lyce Jean Baptiste Corot (0910627M),5,1,0,0,0,0,0,0
Sceaux,Lyce Lakanal (0920145H),31,12,10,5,8,4,4,2
Strasbourg,Lyce Kleber (0670080Y),24,4,14,2,13,2,7,2
Toulon,Lyce Dumont D'Urville (0830053G),2,0,1,0,1,0,1,0
Toulouse,Lyce Bellevue (0310038Y),14,1,3,0,2,0,0,0
Toulouse,Lyce Pierre de Fermat (0310036W),53,16,30,6,25,6,9,3
Tourcoing,Lyce Gambetta (0590212K),1,1,0,0,0,0,0,0
Tours,Lyce Descartes (0370035M),19,2,7,0,5,0,3,0
Tunis,IPEST (99926211),13,4,3,0,1,0,1,0
Valbonne,C.I.V. Valbonne (0061642C),2,0,0,0,0,0,0,0
Valenciennes,Lyce Henri Wallon (0590221V),15,4,3,1,3,1,1,0
Vanves,Lyce Michelet (0920149M),9,2,2,0,2,0,0,0
Versailles,Lyce Hoche (0782562L),39,15,22,8,15,4,5,2
Versailles,Lyce Sainte Genevive (0783053V),133,34,72,15,58,11,30,4
