ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Saint-Brieuc,Lyce Francois Rabelais (0220056S),12,4,4,1,3,1,1,1
Saint-Cyr-L'Ecole,Lyce Militaire (0780015T),8,0,3,0,1,0,0,0
Saint-Denis,Lyce Paul Eluard (0930125F),12,3,3,1,0,0,0,0
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),25,8,12,4,9,4,1,0
Saint-Etienne,Lyce Claude Fauriel (0420041S),58,14,40,7,31,5,14,1
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),13,1,10,1,5,0,1,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),9,0,4,0,1,0,0,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),57,10,48,10,38,8,11,4
Savigny-Sur-Orge,Lyce Jean Baptiste Corot (0910627M),28,7,19,4,10,2,3,0
Sceaux,Lyce Lakanal (0920145H),31,2,25,2,18,1,5,1
Sfax,IPEIS (99951111),0,0,1,0,1,0,0,0
Strasbourg,Lyce Kleber (0670080Y),122,30,86,20,71,17,20,7
Tanger,Centre Pdagogique Rgional (99926911),20,3,1,0,0,0,0,0
Tanger,Lyce Al Bayrouni (99901131),2,0,1,0,1,0,1,0
Toulon,Lyce Dumont D'Urville (0830053G),19,4,10,2,7,1,4,1
Toulouse,Lyce Bellevue (0310038Y),29,10,11,4,8,2,4,2
Toulouse,Lyce Pierre de Fermat (0310036W),113,19,105,17,86,16,26,6
Tours,Lyce Descartes (0370035M),55,10,38,9,32,7,16,4
Troyes,Lyce Chrestien De Troyes (0100022V),10,2,4,2,3,1,0,0
Tunis,IPEI El Manar (99951211),2,0,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),20,2,8,0,2,0,0,0
Tunis,IPEST (99926211),50,17,56,21,46,18,19,7
Valbonne,C.I.V. Valbonne (0061642C),19,8,10,6,9,6,1,1
Valence,Lyce Camille Vernet (0260035X),14,2,4,1,2,1,0,0
Valenciennes,Lyce Henri Wallon (0590221V),76,20,43,9,27,7,8,3
Vannes,Lyce Alain Ren Lesage (0560051B),17,2,2,1,2,1,0,0
Vanves,Lyce Michelet (0920149M),22,5,19,5,13,4,4,2
Versailles,Lyce Hoche (0782562L),76,24,70,23,63,20,15,4
Versailles,Lyce Sainte Genevive (0783053V),115,26,111,24,99,20,21,6
