ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Toulouse,Lyce Dodat de Sverac (0310044E),22,14,12,10,9,7,3,1
Toulouse,Lyce Pierre de Fermat (0310036W),75,26,72,26,59,25,23,13
Tourcoing,Lyce Gambetta (0590212K),24,7,5,0,3,0,0,0
Tours,Lyce Descartes (0370035M),69,16,56,16,44,10,28,9
Troyes,Lyce Chrestien De Troyes (0100022V),11,4,3,1,3,1,2,0
Tulle,Lyce Edmond Perrier (0190032G),21,6,13,5,10,4,2,2
Tunis,IPEI El Manar (99951211),2,1,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),5,0,1,0,0,0,0,0
Tunis,IPEST (99926211),43,21,37,17,34,16,28,14
Tunis,Universit de Tunis (35900002),1,0,0,0,0,0,0,0
Valbonne,C.I.V. Valbonne (0061642C),35,13,25,10,19,8,11,4
Valence,Lyce Camille Vernet (0260035X),15,5,6,3,1,1,1,1
Valenciennes,Lyce Henri Wallon (0590221V),93,30,88,29,76,28,37,18
Vanves,Lyce Michelet (0920149M),35,14,33,12,27,9,9,3
Versailles,Lyce Hoche (0782562L),61,27,56,23,50,23,10,7
Versailles,Lyce Sainte Genevive (0783053V),141,36,133,34,70,21,10,6
