ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Tanger,GROUPE ASSAFA (SOPHOS) (L0005),9,3,5,1,5,1,3,0
Tanger,Lycée Al Bayrouni (99901131),6,1,4,0,2,0,1,0
Tanger,Lycée Moulay Hassan (99926911),16,5,11,3,9,3,7,3
Toulon Cedex,Lycée Dumont D'Urville (0830053G),26,9,23,8,15,5,6,4
Toulouse,Lycée Bellevue (0310038Y),21,5,17,4,13,3,2,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),8,2,8,2,8,2,0,0
Tours Cedex 1,Lycée Descartes (0370035M),28,10,23,10,20,9,3,1
Troyes,Lycée Chrestien De Troyes (0100022V),15,4,12,3,8,1,5,0
Tunis,Esprit-prépa (L0042),12,5,6,1,6,1,3,1
Tunis,IPEST (99926211),1,0,1,0,1,0,1,0
Tunis,Université Libre de Tunis (U0020),2,0,0,0,0,0,0,0
Valence Cedex,Lycée Camille Vernet (0260035X),18,4,17,4,13,3,6,1
Valenciennes Cedex,Lycée Henri Wallon (0590221V),47,11,44,11,39,10,11,3
Vannes,Lycée Alain René Lesage (0560051B),28,8,28,8,25,8,12,3
Vanves Cedex,Lycée Michelet (0920149M),6,3,6,3,6,3,2,0
Versailles Cedex,Lycée Hoche (0782562L),6,3,5,2,5,2,2,0
Yamoussoukro,INP HOUPHOUET-BOIGNY (99929911),2,0,0,0,0,0,0,0
Yaoundé,Institut PrépaVogt (L0110),1,0,0,0,0,0,0,0
