year,concours,prepa,ville,etablissement,inscrits,inscrits dont filles,admissibles,admissibles dont filles,classes,classes dont filles,integres,integres dont filles
2002,centrale-supelec,PC,POINTE A PITRE,BAIMBRIDGE,2,0,0,0,0,0,0,0
2002,ccp,PC,AIX-EN-PROVENCE,PAUL CEZANNE,80,36,71,30,64,29,32,17
2002,ccp,PC,MARSEILLE,THIERS,78,20,67,16,56,14,17,5
2002,ccp,PC,SALON DE PROVENCE,L'EMPERI,39,13,15,5,9,4,7,3
2002,ccp,PC,AMIENS,THUILLIER,43,12,26,10,19,7,11,3
2002,ccp,PC,COMPIEGNE,PIERRE D'AILLY,19,3,9,1,5,1,3,0
2002,ccp,PC,BELFORT,CONDORCET,16,7,9,3,8,3,8,3
2002,ccp,PC,BESANCON,VICTOR HUGO,65,18,55,17,51,16,27,10
2002,ccp,PC,BAYONNE,RENE CASSIN,30,7,25,6,24,6,10,5
2002,ccp,PC,BORDEAUX,CAMILLE JULLIAN,30,15,18,7,17,7,9,3
2002,ccp,PC,BORDEAUX,MICHEL MONTAIGNE,60,20,58,18,52,18,21,9
2002,ccp,PC,PAU,LOUIS BARTHOU,51,16,45,13,42,12,24,8
2002,ccp,PC,CAEN,VICTOR HUGO,53,14,45,12,44,12,26,8
2002,ccp,PC,CLERMONT-FERRAND,BLAISE PASCAL,68,23,64,22,62,21,33,17
2002,ccp,PC,DIJON,CARNOT,60,16,39,10,26,8,15,6
2002,ccp,PC,ANNECY,BERTHOLLET,48,16,42,13,37,10,24,5
2002,ccp,PC,GRENOBLE,CHAMPOLLION,68,23,60,23,52,22,24,10
2002,ccp,PC,LA TRONCHE,ITEC- BOISFLEURY,9,2,7,1,6,1,6,1
2002,ccp,PC,VALENCE,CAMILLE VERNET,28,8,24,6,20,6,8,4
2002,ccp,PC,ARRAS,ROBESPIERRE,14,6,9,4,5,2,1,1
2002,ccp,PC,DOUAI,A. CHATELET,20,11,17,9,14,8,5,4
2002,ccp,PC,DUNKERQUE,JEAN BART,23,5,16,3,12,1,6,0
2002,ccp,PC,LENS,CONDORCET,21,5,5,0,3,0,0,0
2002,ccp,PC,LILLE,FAIDHERBE,53,12,45,11,37,10,12,2
2002,ccp,PC,TOURCOING,GAMBETTA,21,3,5,1,2,1,2,1
2002,ccp,PC,VALENCIENNES,HENRI WALLON,88,30,80,26,59,24,24,15
2002,ccp,PC,LIMOGES,GAY LUSSAC,44,11,39,10,37,10,17,4
2002,ccp,PC,BOURG EN BRESSE,LALANDE,19,6,10,3,7,2,5,1
2002,ccp,PC,LYON,AUX LAZARISTES,23,7,22,7,19,7,3,2
2002,ccp,PC,LYON,DU PARC,96,22,89,22,74,19,10,4
2002,ccp,PC,LYON,INSTITUT DES CHARTRX,1,0,0,0,0,0,0,0
2002,ccp,PC,LYON,LA MARTINIERE,54,23,51,21,47,20,31,12
2002,ccp,PC,SAINT-ETIENNE,FAURIEL,51,16,42,15,36,13,18,7
2002,ccp,PC,MONTPELLIER,JOFFRE,75,33,68,31,62,29,37,17
2002,ccp,PC,NIMES,ALPHONSE DAUDET,20,10,5,2,2,0,2,0
2002,ccp,PC,PERPIGNAN,F. ARAGO,19,8,8,4,8,4,3,1
2002,ccp,PC,METZ,FABERT,57,17,50,14,42,14,21,7
2002,ccp,PC,NANCY,HENRI POINCARE,79,25,64,23,53,21,26,9
2002,ccp,PC,ANGERS,HENRI BERGSON,23,10,17,7,17,7,13,6
2002,ccp,PC,LA FLECHE,PRYTANEE MILITAIRE,23,2,13,1,8,0,6,0
2002,ccp,PC,LA ROCHE SUR YON,SAINT JOSEPH,14,1,7,1,6,0,3,0
2002,ccp,PC,LE MANS,MONTESQUIEU,50,10,45,8,40,7,15,3
2002,ccp,PC,NANTES,GEORGES CLEMENCEAU,80,33,68,30,66,29,32,14
2002,ccp,PC,NANTES,SAINT STANISLAS,28,10,14,4,11,4,9,4
2002,ccp,PC,SAINT-NAZAIRE,ARISTIDE BRIAND,13,2,11,2,6,2,3,2
2002,ccp,PC,NICE,MASSENA,27,8,27,8,25,8,7,1
2002,ccp,PC,TOULON,DUMONT D'URVILLE,45,17,33,11,28,10,16,5
2002,ccp,PC,VALBONNE,CENTRE INTERNATIONAL,42,10,36,8,30,7,19,6
2002,ccp,PC,BOURGES,ALAIN FOURNIER,13,8,8,6,6,4,5,3
2002,ccp,PC,CHARTRES,MARCEAU,21,3,16,3,15,2,13,0
2002,ccp,PC,ORLEANS,POTHIER,66,20,54,16,50,14,33,11
2002,ccp,PC,TOURS,DESCARTES,65,20,57,17,54,16,31,11
2002,ccp,PC,ANTONY,SAINTE MARIE,27,6,15,5,13,5,6,3
2002,ccp,PC,ENGHIEN LES BAINS,GUSTAVE MONOD,21,5,13,3,11,3,6,3
2002,ccp,PC,FONTAINEBLEAU,FRANCOIS 1ER,27,4,14,3,10,2,6,1
2002,ccp,PC,LE RAINCY,ALBERT SCHWEITZER,22,7,10,5,8,4,6,4
2002,ccp,PC,MELUN,JACQUES AMYOT,27,10,16,6,11,4,4,1
2002,ccp,PC,NEUILLY SUR SEINE,PASTEUR,54,14,53,14,44,13,10,5
2002,ccp,PC,ORSAY,BLAISE PASCAL,27,9,26,9,25,9,10,5
2002,ccp,PC,PARIS 03,TURGOT,31,11,23,8,19,5,8,2
2002,ccp,PC,PARIS 04,CHARLEMAGNE,46,20,39,17,34,14,10,5
2002,ccp,PC,PARIS 05,HENRI IV,14,4,9,4,4,2,2,1
2002,ccp,PC,PARIS 05,LAVOISIER,29,10,17,6,16,6,8,3
