ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Toulon,Lycée Dumont D'Urville (0830053G),30,2,30,2,25,1,13,0
Toulouse,Lycée Bellevue (0310038Y),37,10,36,10,33,10,10,4
Toulouse,Lycée Déodat de Séverac (0310044E),29,6,21,6,18,5,0,0
Toulouse,Lycée Pierre de Fermat (0310036W),28,2,23,2,21,2,4,0
Tours,Lycée Descartes (0370035M),70,21,65,21,61,20,22,8
Tours,Lycée J. de Vaucanson (0371418R),15,2,14,2,13,2,6,0
Troyes,Lycée Chrestien De Troyes (0100022V),27,2,22,2,16,2,5,0
Valbonne,C.I.V. Valbonne (0061642C),36,6,27,5,21,5,6,1
Valenciennes,Lycée Henri Wallon (0590221V),38,3,29,2,25,2,12,1
Vanves,Lycée Michelet (0920149M),40,11,39,11,39,11,13,2
Versailles,Lycée Hoche (0782562L),21,0,18,0,17,0,1,0
Versailles,Lycée Jules Ferry (0782565P),18,2,15,1,13,1,3,1
Versailles,Lycée Sainte Geneviève (0783053V),7,1,4,0,3,0,0,0
