ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),16,4,9,2,8,2,4,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),62,14,42,9,33,6,11,1
Saint-Pierre,Lycée Catholique Saint Charles (9741255W),14,0,8,0,3,0,1,0
Sale,Collège Selmane Al-Farissi (L0002),25,7,2,0,2,0,1,0
Sale,Université Internationale de Rabat (U0010),15,4,1,0,1,0,0,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),23,4,9,1,6,1,3,1
Sceaux Cedex,Lycée Lakanal (0920145H),32,8,14,4,12,2,5,1
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),51,12,22,5,16,2,8,1
Strasbourg Cedex,Lycée Kleber (0670080Y),119,32,69,17,58,15,25,6
Tanger,Lycée Moulay Hassan (99926911),42,9,2,1,2,1,0,0
Taza,Lycée Charif Al Idrissi (3500052E),26,9,2,0,2,0,1,0
Tetouan,Faculté des sciences (U208),2,0,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),18,3,2,0,1,0,0,0
Toulouse,Lycée Bellevue (0310038Y),30,9,15,5,6,2,2,1
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),114,32,75,22,68,20,29,8
Tours Cedex 1,Lycée Descartes (0370035M),71,10,43,4,39,4,16,1
Troyes,Lycée Chrestien De Troyes (0100022V),10,0,6,0,2,0,1,0
Tunis,Esprit-prépa (L0042),50,9,6,0,6,0,0,0
Tunis,IPEI El Manar (99951211),1,0,0,0,0,0,0,0
Tunis,IPEST (99926211),58,30,32,13,31,12,0,0
Tunis,Université Libre de Tunis (U0020),1,0,0,0,0,0,0,0
Valence Cedex,Lycée Camille Vernet (0260035X),4,1,0,0,0,0,0,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),56,8,23,4,15,3,5,0
Vannes,Lycée Alain René Lesage (0560051B),16,0,6,0,1,0,0,0
Vanves Cedex,Lycée Michelet (0920149M),28,8,23,6,18,3,4,0
Versailles Cedex,Lycée Hoche (0782562L),76,21,62,17,56,12,25,3
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),112,29,105,29,103,29,36,12
Yamoussoukro,INP HOUPHOUET-BOIGNY (99929911),2,1,1,0,1,0,0,0
