ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,intgres,dont filles
Paris 16e,Lyce Janson de Sailly (0750699C),88,24,78,22,72,21,19,7
Pau,Lyce Louis Barthou (0640055M),33,6,28,6,13,3,2,1
Perpignan,Lyce Franois Arago (0660010C),25,6,24,5,14,4,5,2
Pointe--Pitre,L.G.T.Baimbridge (9710003B),31,13,30,12,26,10,13,3
Poitiers,Lyce Camille Gurin (0860035W),31,5,27,5,23,4,3,0
Pontoise,Lyce Camille Pissarro (0950649P),27,5,23,3,21,2,9,2
Rabat,Etablissement Al Atlas (99693011),8,4,7,4,4,3,1,0
Rabat,Lyce Ibn Al Ghazhi (99951011),55,25,38,18,25,12,11,6
Rabat,Lyce Moulay Youssef (99926611),24,6,20,5,15,5,3,1
Rabat,Lyce priv Al Khawarizmi CPGE (99928311),30,8,12,4,8,3,4,2
Rabat,THALES-PREPAS (99948222),19,9,6,2,4,2,2,1
Reims,Lyce Clmenceau (0510031G),72,20,68,18,56,16,15,5
Rennes,Lyce Chateaubriand (0350710G),17,5,13,4,11,3,0,0
Roubaix,Lyce priv Saint Rmi (0592921E),29,6,28,6,21,4,12,1
Rouen,Lyce Pierre Corneille (0760090K),8,5,6,5,4,3,0,0
Saint-Brieuc,Lyce Francois Rabelais (0220056S),16,8,13,7,10,7,2,2
Saint-Cyr-L'Ecole,Lyce Militaire (0780015T),7,0,6,0,5,0,1,0
Saint-Denis,Lyce Paul Eluard (0930125F),16,5,14,4,14,4,9,3
Sainte-Clotilde,Lyce Leconte de Lisle (9740001H),23,8,20,8,19,7,6,2
Saint-Etienne,Lyce Claude Fauriel (0420041S),27,10,23,10,16,7,3,0
Saint-Germain-en-Laye,Lyce Jeanne D'Albret (0782132U),18,4,18,4,15,3,3,1
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),2,1,2,1,1,1,0,0
Saint-Maur-Des-Fosses,Lyce Marcelin Berthelot (0940120V),21,4,17,4,15,4,4,0
Savigny-Sur-Orge,Lyce Jean Baptiste Corot (0910627M),22,5,18,4,14,2,3,0
Sceaux,Lyce Lakanal (0920145H),17,1,14,1,13,1,3,0
Strasbourg,Lyce Kleber (0670080Y),60,26,56,24,49,20,11,3
Tanger,Centre Pdagogique Rgional (99926911),10,3,3,1,3,1,1,1
Tanger,Lyce Al Bayrouni (99901131),16,4,13,4,11,3,8,2
Toulon,Lyce Dumont D'Urville (0830053G),22,6,20,6,13,3,3,1
Toulouse,Lyce Bellevue (0310038Y),10,7,7,5,7,5,2,1
Toulouse,Lyce Pierre de Fermat (0310036W),43,13,33,12,28,11,10,4
Tours,Lyce Descartes (0370035M),24,9,21,8,19,8,6,3
Troyes,Lyce Chrestien De Troyes (0100022V),11,2,11,2,10,2,4,1
Tunis,IPEI El Manar (99951211),3,1,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),14,5,4,3,4,3,2,2
Tunis,IPEST (99926211),1,0,1,0,1,0,1,0
Valbonne,C.I.V. Valbonne (0061642C),17,5,16,5,15,5,5,2
Valence,Lyce Camille Vernet (0260035X),17,3,15,3,12,2,2,0
Valenciennes,Lyce Henri Wallon (0590221V),55,14,51,13,45,11,13,3
Vannes,Lyce Alain Ren Lesage (0560051B),27,6,23,5,18,3,8,1
Vanves,Lyce Michelet (0920149M),14,2,14,2,11,2,2,1
Versailles,Lyce Hoche (0782562L),20,6,16,5,16,5,6,2
Versailles,Lyce Sainte Genevive (0783053V),27,10,21,9,21,9,10,3
