ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Strasbourg,Lycée Kleber (0670080Y),54,7,9,1,4,0,4,0
Strasbourg,Lycée Ort (0671636P),1,0,0,0,0,0,0,0
Tanger,Lycée Moulay Hassan (99926911),1,0,0,0,0,0,0,0
Taza,Lycée Technique de Taza (3500052E),1,0,0,0,0,0,0,0
Torcy,Lycée Jean Moulin (0772120L),1,1,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),6,0,0,0,0,0,0,0
Toulouse,Lycée Bellevue (0310038Y),9,0,0,0,0,0,0,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),62,11,16,2,10,1,9,1
Tours Cedex 1,Lycée Descartes (0370035M),26,4,3,0,2,0,1,0
Tunis,Esprit-prépa (L0042),11,2,0,0,0,0,0,0
Tunis,IPEI El Manar (99951211),1,1,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),2,0,0,0,0,0,0,0
Tunis,IPEST (99926211),36,16,2,0,2,0,0,0
Valence Cedex,Lycée Camille Vernet (0260035X),1,0,0,0,0,0,0,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),13,0,3,0,3,0,3,0
Vannes,Lycée Alain René Lesage (0560051B),2,0,0,0,0,0,0,0
Vanves Cedex,Lycée Michelet (0920149M),13,0,1,0,0,0,0,0
Versailles,Lycée Sainte Geneviève (0783053V),80,13,60,7,54,6,52,6
Versailles Cedex,Lycée Hoche (0782562L),55,17,21,4,16,4,8,2
null,Sans etablissement - candidat libre (0000000Y),2,0,0,0,0,0,0,0
