ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Tours Cedex 1,Lycée Descartes (0370035M),97,18,90,18,78,11,26,5
Troyes,Lycée Chrestien De Troyes (0100022V),18,3,12,3,9,2,3,1
Tunis,Esprit-prépa (L0042),50,4,23,2,19,2,6,0
Tunis,IPEI El Manar (99951211),1,1,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),1,0,0,0,0,0,0,0
Tunis,IPEST (99926211),44,18,33,13,33,13,14,5
Valence Cedex,Lycée Camille Vernet (0260035X),11,1,4,1,3,1,1,0
Valenciennes Cedex,Lycée Henri Wallon (0590221V),77,22,55,16,39,10,14,3
Vannes,Lycée Alain René Lesage (0560051B),29,7,16,4,14,4,5,1
Vanves Cedex,Lycée Michelet (0920149M),34,5,34,5,32,5,16,2
Versailles Cedex,Lycée Hoche (0782562L),75,18,71,16,71,16,16,4
Versailles Cedex,Lycée privé Sainte Geneviève (0783053V),122,22,120,21,111,21,28,6
Yamoussoukro,INP HOUPHOUET-BOIGNY (99929911),21,1,5,0,4,0,0,0
