year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2023	PSI	Banque CENTRALE-SUPELEC	ESTP - campus de Troyes										11	18,2%	9,1%	716	748		22
2023	PSI	Banque CENTRALE-SUPELEC	Concours ESTP PSI	1476	30,4%	17,3%	1323	30,7%	16,8%	914	32,8%	17,1%	153						220
2023	PSI	Banque CENTRALE-SUPELEC	ECOLE NAVALE Brest	991	20,1%	22,8%	262	19,8%	32,8%	147	16,3%	45,6%	34	26,5%	47,1%	45	44		34
2023	PSI	Concours Commun MINES-PONTS	Chimie ParisTech										3	0,0%	33,3%	1058	930		2
2023	PSI	Concours Commun MINES-PONTS	ENSAE Paris										13	23,1%	7,7%	555	521		8
2023	PSI	Concours Commun MINES-PONTS	ENSTA Paris										50	20,0%	10,0%	474	431		53
2023	PSI	Concours Commun MINES-PONTS	ENSTA Paris - apprentissage										2	50,0%	0,0%	562	562		2
2023	PSI	Concours Commun MINES-PONTS	IMT Atlantique										90	24,4%	12,2%	884	862		90
2023	PSI	Concours Commun MINES-PONTS	ISAE - SUPAERO Toulouse										85	23,5%	17,6%	371	344		75
2023	PSI	Concours Commun MINES-PONTS	MINES de NANCY										45	33,3%	17,8%	635	619		42
2023	PSI	Concours Commun MINES-PONTS	MINES SAINT-ETIENNE										38	28,9%	18,4%	907	870		46
2023	PSI	Concours Commun MINES-PONTS	MINES Paris										34	14,7%	0,0%	53	52		34
2023	PSI	Concours Commun MINES-PONTS	PONTS ParisTech										65	30,8%	10,8%	274	254		58
2023	PSI	Concours Commun MINES-PONTS	TELECOM Paris										31	29,0%	6,5%	431	410		31
2023	PSI	Concours Commun MINES-PONTS	TELECOM Paris - Apprentissage										1	0,0%	0,0%	564	564		1
2023	PSI	Concours Commun MINES-PONTS	Concours CCMP PSI	3731	25,0%	16,7%	1150	19,9%	15,4%	1138	19,9%	15,1%	457						442
2023	PSI	Concours Mines - T̩l̩com	ECOLE METEOROLOGIE (fonctionnaire) (Oral S̩rie 1)	4289	25,7%	17,7%	2266	24,1%	18,8%	2189	24,2%	18,2%	3	33,3%	0,0%	1183	1374		5
2023	PSI	Concours Mines - T̩l̩com	ECOLE METEOROLOGIE (non fonctionnaire) (Oral S̩rie 1)	4289	25,7%	17,7%	2342	24,6%	18,7%	2262	24,7%	18,0%	0	0,0%	0,0%	0	0		1
2023	PSI	Concours Mines - T̩l̩com	EIVP Paris Civil (Oral S̩rie 2)	4289	25,7%	17,7%	3020	24,9%	18,0%	2732	25,4%	17,6%	25	40,0%	8,0%	2151	1984		24
2023	PSI	Concours Mines - T̩l̩com	EIVP Paris Fonctionnaire (Oral S̩rie 2)	4289	25,7%	17,7%	2921	24,5%	18,1%	2641	25,0%	17,7%	4	50,0%	0,0%	1444	1413		4
